,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Punting,Punting,Punting,Punting,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 51_level_0,qb,qb_tag
44,43,2007,2007-11-25,11,12,,NWE,,PHI,W 31-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Matt Cassel,CassMa00
45,44,2007,2007-12-03,12,13,,NWE,@,BAL,W 27-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Matt Cassel,CassMa00
46,45,2007,2007-12-09,13,14,,NWE,,PIT,W 34-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Matt Cassel,CassMa00
47,46,2007,2007-12-16,14,15,,NWE,,NYJ,W 20-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Matt Cassel,CassMa00
48,47,2007,2007-12-23,15,16,,NWE,,MIA,W 28-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Matt Cassel,CassMa00
49,48,2007,2007-12-29,16,17,,NWE,@,NYG,W 38-35,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Matt Cassel,CassMa00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Num,Pct,Num,Pct,Num,Pct,Status,Matt Cassel,CassMa00
51,49,2008,2008-09-07,1,1,26.113,NWE,,KAN,W 17-10,,13,18,72.22,152,1,0,116.0,2,16,8.44,9.56,4,13,3.25,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
52,50,2008,2008-09-14,2,2,26.120,NWE,@,NYJ,W 19-10,*,16,23,69.57,165,0,0,89.9,4,9,7.17,7.17,1,7,7.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
53,51,2008,2008-09-21,3,3,26.127,NWE,,MIA,L 13-38,*,19,31,61.29,131,1,1,68.1,4,17,4.23,3.42,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
54,52,2008,2008-10-05,4,5,26.141,NWE,@,SFO,W 30-21,*,22,32,68.75,259,1,2,77.5,5,26,8.09,5.91,4,5,1.25,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
55,53,2008,2008-10-12,5,6,26.148,NWE,@,SDG,L 10-30,*,22,38,57.89,203,0,1,61.6,4,10,5.34,4.16,7,29,4.14,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
56,54,2008,2008-10-20,6,7,26.156,NWE,,DEN,W 41-7,*,18,24,75.00,185,3,0,136.3,6,38,7.71,10.21,4,1,0.25,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
57,55,2008,2008-10-26,7,8,26.162,NWE,,STL,W 23-16,*,21,33,63.64,267,1,2,73.7,3,17,8.09,5.97,7,22,3.14,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
58,56,2008,2008-11-02,8,9,26.169,NWE,@,IND,L 15-18,*,25,34,73.53,204,0,1,76.1,0,0,6.00,4.68,5,20,4.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
59,57,2008,2008-11-09,9,10,26.176,NWE,,BUF,W 20-10,*,22,32,68.75,234,0,0,89.8,1,8,7.31,7.31,9,22,2.44,1,0,0,0,,0,0.0%,,1,6,1,1,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
60,58,2008,2008-11-13,10,11,26.180,NWE,,NYJ,L 31-34,*,30,51,58.82,400,3,0,103.4,3,14,7.84,9.02,8,62,7.75,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,-17,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
61,59,2008,2008-11-23,11,12,26.190,NWE,@,MIA,W 48-28,*,30,43,69.77,415,3,1,114.0,2,7,9.65,10.00,2,14,7.00,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
62,60,2008,2008-11-30,12,13,26.197,NWE,,PIT,L 10-33,*,19,39,48.72,169,0,2,39.4,5,24,4.33,2.03,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,2,2,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
63,61,2008,2008-12-07,13,14,26.204,NWE,@,SEA,W 24-21,*,26,44,59.09,268,1,0,84.3,3,8,6.09,6.55,7,14,2.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
64,62,2008,2008-12-14,14,15,26.211,NWE,@,OAK,W 49-26,*,18,30,60.00,218,4,1,108.1,3,8,7.27,8.43,6,18,3.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
65,63,2008,2008-12-21,15,16,26.218,NWE,,ARI,W 47-7,*,20,36,55.56,345,3,0,116.1,1,12,9.58,11.25,2,19,9.50,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
66,64,2008,2008-12-28,16,17,26.225,NWE,@,BUF,W 13-0,*,6,8,75.00,78,0,0,105.2,1,5,9.75,9.75,3,19,6.33,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,1,57,57.00,0,,,,,,,,Matt Cassel,CassMa00
67,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Num,Pct,Num,Pct,Num,Pct,Status,Matt Cassel,CassMa00
68,65,2009,2009-09-13,1,1,,KAN,@,BAL,L 24-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Matt Cassel,CassMa00
69,66,2009,2009-09-20,2,2,27.126,KAN,,OAK,L 10-13,*,24,39,61.54,241,1,2,66.3,2,5,6.18,4.38,5,34,6.80,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
70,67,2009,2009-09-27,3,3,27.133,KAN,@,PHI,L 14-34,*,14,18,77.78,90,2,0,124.5,3,19,5.00,7.22,2,-1,-0.50,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,-4,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
71,68,2009,2009-10-04,4,4,27.140,KAN,,NYG,L 16-27,*,15,32,46.88,127,2,0,78.5,5,39,3.97,5.22,4,25,6.25,0,0,0,0,,0,0.0%,,0,0,3,0,0,1,-3,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
72,69,2009,2009-10-11,5,5,27.147,KAN,,DAL,L 20-26,*,23,41,56.10,253,2,0,90.8,4,21,6.17,7.15,4,28,7.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
73,70,2009,2009-10-18,6,6,27.154,KAN,@,WAS,W 14-6,*,16,31,51.61,186,0,0,70.1,5,28,6.00,6.00,6,16,2.67,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
74,71,2009,2009-10-25,7,7,27.161,KAN,,SDG,L 7-37,*,10,25,40.00,97,1,3,25.3,5,18,3.88,-0.72,5,24,4.80,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
75,72,2009,2009-11-08,8,9,27.175,KAN,@,JAX,L 21-24,*,23,39,58.97,262,2,0,96.3,3,21,6.72,7.74,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,-4,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
76,73,2009,2009-11-15,9,10,27.182,KAN,@,OAK,W 16-10,*,19,34,55.88,216,0,1,62.9,2,10,6.35,5.03,4,-3,-0.75,0,0,0,0,,0,0.0%,,0,0,2,1,0,0,-3,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
77,74,2009,2009-11-22,10,11,27.189,KAN,,PIT,W 27-24,*,15,30,50.00,248,2,0,100.4,5,34,8.27,9.60,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
78,75,2009,2009-11-29,11,12,27.196,KAN,@,SDG,L 14-43,*,19,31,61.29,178,1,1,74.4,1,11,5.74,4.94,6,22,3.67,0,0,0,0,,0,0.0%,,0,0,2,1,0,1,-11,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
79,76,2009,2009-12-06,12,13,27.203,KAN,,DEN,L 13-44,*,10,29,34.48,84,0,2,14.6,2,6,2.90,-0.21,3,17,5.67,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,-3,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
80,77,2009,2009-12-13,13,14,27.210,KAN,,BUF,L 10-16,*,26,43,60.47,224,0,4,35.4,3,15,5.21,1.02,2,-6,-3.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
81,78,2009,2009-12-20,14,15,27.217,KAN,,CLE,L 34-41,*,22,40,55.00,331,2,0,99.1,1,8,8.28,9.28,2,10,5.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
82,79,2009,2009-12-27,15,16,27.224,KAN,@,CIN,L 10-17,*,22,37,59.46,180,1,2,58.4,1,8,4.86,2.97,3,21,7.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
83,80,2009,2010-01-03,16,17,27.231,KAN,@,DEN,W 44-24,*,13,24,54.17,207,0,1,65.8,0,0,8.63,6.75,1,0,0.00,0,1,0,0,,0,0.0%,0.00,0,0,1,0,0,1,-1,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
84,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Num,Pct,Num,Pct,Num,Pct,Status,Matt Cassel,CassMa00
85,81,2010,2010-09-13,1,1,28.119,KAN,,SDG,W 21-14,*,10,22,45.45,68,1,0,68.0,1,6,3.09,4.00,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
86,82,2010,2010-09-19,2,2,28.125,KAN,@,CLE,W 16-14,*,16,28,57.14,176,0,2,46.1,1,4,6.29,3.07,4,5,1.25,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
87,83,2010,2010-09-26,3,3,28.132,KAN,,SFO,W 31-10,*,16,27,59.26,250,3,1,111.7,0,0,9.26,9.81,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
88,84,2010,2010-10-10,4,5,28.146,KAN,@,IND,L 9-19,*,16,29,55.17,156,0,0,70.5,1,8,5.38,5.38,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
89,85,2010,2010-10-17,5,6,28.153,KAN,@,HOU,L 31-35,*,20,29,68.97,201,3,0,122.9,1,12,6.93,9.00,1,8,8.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
90,86,2010,2010-10-24,6,7,28.160,KAN,,JAX,W 42-20,*,13,18,72.22,193,2,0,144.0,1,3,10.72,12.94,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
91,87,2010,2010-10-31,7,8,28.167,KAN,,BUF,W 13-10,*,14,26,53.85,152,1,0,84.1,3,12,5.85,6.62,2,13,6.50,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
92,88,2010,2010-11-07,8,9,28.174,KAN,@,OAK,L 20-23,*,20,35,57.14,216,2,1,82.6,3,16,6.17,6.03,3,14,4.67,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
93,89,2010,2010-11-14,9,10,28.181,KAN,@,DEN,L 29-49,*,33,53,62.26,469,4,0,116.0,4,36,8.85,10.36,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
94,90,2010,2010-11-21,10,11,28.188,KAN,,ARI,W 31-13,*,15,24,62.50,193,2,0,115.5,0,0,8.04,9.71,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
95,91,2010,2010-11-28,11,12,28.195,KAN,@,SEA,W 42-24,*,22,32,68.75,233,4,0,129.3,0,0,7.28,9.78,5,28,5.60,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
96,92,2010,2010-12-05,12,13,28.202,KAN,,DEN,W 10-6,*,17,31,54.84,196,1,0,84.9,2,22,6.32,6.97,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
97,93,2010,2010-12-12,13,14,,KAN,@,SDG,L 0-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Matt Cassel,CassMa00
98,94,2010,2010-12-19,14,15,28.216,KAN,@,STL,W 27-13,*,15,29,51.72,184,1,1,68.8,3,11,6.34,5.48,6,17,2.83,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
99,95,2010,2010-12-26,15,16,28.223,KAN,,TEN,W 34-14,*,24,34,70.59,314,3,0,128.8,1,6,9.24,11.00,3,20,6.67,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,-2,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
100,96,2010,2011-01-02,16,17,28.230,KAN,,OAK,L 10-31,*,11,33,33.33,115,0,2,19.1,5,46,3.48,0.76,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
101,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Num,Pct,Num,Pct,Num,Pct,Status,Matt Cassel,CassMa00
102,97,2011,2011-09-11,1,1,29.117,KAN,,BUF,L 7-41,*,22,36,61.11,119,1,1,64.5,2,14,3.31,2.61,0,0,,0,1,1,-4,-4.00,0,100.0%,-4.00,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
103,98,2011,2011-09-18,2,2,29.124,KAN,@,DET,L 3-48,*,15,22,68.18,133,0,3,44.5,2,17,6.05,-0.09,0,0,,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
104,99,2011,2011-09-25,3,3,29.131,KAN,@,SDG,L 17-20,*,17,24,70.83,176,2,1,102.1,1,5,7.33,7.13,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
105,100,2011,2011-10-02,4,4,29.138,KAN,,MIN,W 22-17,*,18,29,62.07,260,1,0,102.7,3,13,8.97,9.66,4,20,5.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
106,101,2011,2011-10-09,5,5,29.145,KAN,@,IND,W 28-24,*,21,29,72.41,257,4,0,138.9,2,15,8.86,11.62,5,12,2.40,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
107,102,2011,2011-10-23,6,7,29.159,KAN,@,OAK,W 28-0,*,15,30,50.00,161,0,2,38.3,0,0,5.37,2.37,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
108,103,2011,2011-10-31,7,8,29.167,KAN,,SDG,W 23-20,*,19,32,59.38,261,1,2,69.9,3,14,8.16,5.97,2,14,7.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
109,104,2011,2011-11-06,8,9,29.173,KAN,,MIA,L 3-31,*,20,39,51.28,253,0,0,71.8,5,26,6.49,6.49,9,38,4.22,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,-3,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
110,105,2011,2011-11-13,9,10,29.180,KAN,,DEN,L 10-17,*,13,28,46.43,93,1,0,66.5,4,16,3.32,4.04,2,16,8.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,0,0,,0,,,,,,,,Matt Cassel,CassMa00
111,106,2011,2011-11-21,10,11,,KAN,@,NWE,L 3-34,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Matt Cassel,CassMa00
112,107,2011,2011-11-27,11,12,,KAN,,PIT,L 9-13,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Matt Cassel,CassMa00
113,108,2011,2011-12-04,12,13,,KAN,@,CHI,W 10-3,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Matt Cassel,CassMa00
114,109,2011,2011-12-11,13,14,,KAN,@,NYJ,L 10-37,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Matt Cassel,CassMa00
115,110,2011,2011-12-18,14,15,,KAN,,GNB,W 19-14,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Matt Cassel,CassMa00
