,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 42_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1988,1988-09-11,2,2,22.335,IND,,CHI,L 13-17,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,0,0,,,,,,,,Chris Chandler,ChanCh00
1,2,1988,1988-09-19,3,3,22.343,IND,@,CLE,L 17-23,,3,8,37.50,80,0,1,35.4,1,6,10.00,4.38,1,4,4.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
2,3,1988,1988-09-25,4,4,22.349,IND,,MIA,W 15-13,*,10,18,55.56,110,0,1,50.7,4,19,6.11,3.61,7,7,1.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
3,4,1988,1988-10-02,5,5,22.356,IND,@,NWE,L 17-21,*,14,26,53.85,172,1,1,71.3,2,8,6.62,5.65,2,-9,-4.50,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
4,5,1988,1988-10-09,6,6,22.363,IND,@,BUF,L 23-34,*,7,11,63.64,71,0,0,82.0,2,15,6.45,6.45,1,1,1.00,1,,0,0,,0,,,,1,6,0,,0,0,0,0,,Chris Chandler,ChanCh00
5,6,1988,1988-10-16,7,7,23.004,IND,,TAM,W 35-31,*,20,33,60.61,246,1,2,68.5,0,0,7.45,5.33,8,23,2.88,1,,0,0,,0,,,,1,6,0,,0,0,0,0,,Chris Chandler,ChanCh00
6,7,1988,1988-10-23,8,8,23.011,IND,@,SDG,W 16-0,*,9,17,52.94,123,0,3,36.8,0,0,7.24,-0.71,2,14,7.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
7,8,1988,1988-10-31,9,9,23.019,IND,,DEN,W 55-23,*,10,13,76.92,167,1,0,143.9,0,0,12.85,14.38,3,8,2.67,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
8,9,1988,1988-11-06,10,10,23.025,IND,,NYJ,W 38-14,*,14,22,63.64,173,1,1,84.1,0,0,7.86,6.73,5,33,6.60,1,,0,0,,0,,,,1,6,0,,0,0,0,0,,Chris Chandler,ChanCh00
9,10,1988,1988-11-13,11,11,23.032,IND,@,GNB,W 20-13,*,9,17,52.94,98,2,0,109.4,3,24,5.76,8.12,0,0,,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
10,11,1988,1988-11-20,12,12,23.039,IND,@,MIN,L 3-12,*,5,14,35.71,45,0,1,15.5,2,21,3.21,0.00,3,5,1.67,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
11,12,1988,1988-11-27,13,13,23.046,IND,,NWE,W 24-21,*,12,24,50.00,171,1,2,52.6,1,11,7.13,4.21,4,22,5.50,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
12,13,1988,1988-12-04,14,14,23.053,IND,@,MIA,W 31-28,*,12,15,80.00,111,1,0,119.7,0,0,7.40,8.73,6,23,3.83,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
13,14,1988,1988-12-10,15,15,23.059,IND,@,NYJ,L 16-34,*,0,4,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
14,15,1988,1988-12-18,16,16,23.067,IND,,BUF,W 17-14,*,4,11,36.36,52,0,0,52.1,3,24,4.73,4.73,4,8,2.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
15,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Chris Chandler,ChanCh00
16,16,1989,1989-09-10,1,1,23.333,IND,,SFO,L 24-30,*,14,32,43.75,200,1,1,62.0,1,10,6.25,5.47,4,21,5.25,1,,0,0,,0,,,,1,6,0,,0,0,0,0,,Chris Chandler,ChanCh00
17,17,1989,1989-09-17,2,2,23.340,IND,@,RAM,L 17-31,*,20,33,60.61,266,1,1,83.6,0,0,8.06,7.30,1,4,4.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
18,18,1989,1989-09-24,3,3,23.347,IND,,ATL,W 13-9,*,5,15,33.33,71,0,1,21.8,2,7,4.73,1.73,2,32,16.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
19,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Chris Chandler,ChanCh00
20,19,1990,1990-09-16,2,2,24.339,TAM,,RAM,L 14-35,,7,13,53.85,90,0,0,75.8,1,15,6.92,6.92,1,0,0.00,0,,0,0,,0,,,,0,0,1,,0,0,0,0,,Chris Chandler,ChanCh00
21,20,1990,1990-10-21,7,7,25.009,TAM,,DAL,L 13-17,,1,3,33.33,23,0,1,22.2,1,2,7.67,-7.33,0,0,,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
22,21,1990,1990-10-28,8,8,25.016,TAM,@,SDG,L 10-41,*,13,26,50.00,148,1,4,40.7,4,29,5.69,-0.46,2,-1,-0.50,0,,0,0,,0,,,,0,0,3,,0,1,0,0,,Chris Chandler,ChanCh00
23,22,1990,1990-11-11,10,10,25.030,TAM,@,NOR,L 7-35,*,5,7,71.43,44,0,0,87.8,1,9,6.29,6.29,2,20,10.00,1,,0,0,,0,,,,1,6,0,,0,0,0,0,,Chris Chandler,ChanCh00
24,23,1990,1990-11-18,11,11,25.037,TAM,@,SFO,L 7-31,*,13,29,44.83,125,0,1,43.0,7,47,4.31,2.76,6,44,7.33,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
25,24,1990,1990-12-16,14,15,25.065,TAM,,MIN,W 26-13,,1,1,100.00,10,0,0,108.3,0,0,10.00,10.00,0,0,,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
26,25,1990,1990-12-23,15,16,25.072,TAM,@,CHI,L 14-27,,2,4,50.00,24,0,0,68.7,1,1,6.00,6.00,2,8,4.00,0,,0,0,,0,,,,0,0,1,,0,0,-2,0,,Chris Chandler,ChanCh00
27,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Chris Chandler,ChanCh00
28,26,1991,1991-09-01,1,1,,TAM,@,NYJ,L 13-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Chris Chandler,ChanCh00
29,27,1991,1991-09-08,2,2,25.331,TAM,,CHI,L 20-21,,2,3,66.67,24,1,0,130.6,1,8,8.00,14.67,1,8,8.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
30,28,1991,1991-09-15,3,3,,TAM,@,GNB,L 13-15,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Chris Chandler,ChanCh00
31,29,1991,1991-09-22,4,4,25.345,TAM,,BUF,L 10-17,,15,27,55.56,137,0,1,54.1,1,10,5.07,3.41,4,13,3.25,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
32,30,1991,1991-09-29,5,5,25.352,TAM,@,DET,L 3-31,*,10,26,38.46,64,0,1,30.6,1,12,2.46,0.73,6,56,9.33,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
33,31,1991,1991-10-06,6,6,25.359,TAM,,PHI,W 14-13,,7,11,63.64,105,2,2,94.9,0,0,9.55,5.00,3,-3,-1.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
34,32,1991,1991-10-20,7,8,26.008,TAM,@,NOR,L 7-23,*,17,31,54.84,211,1,2,60.0,6,38,6.81,4.55,4,5,1.25,0,,0,0,,0,,,,0,0,2,,0,1,0,0,,Chris Chandler,ChanCh00
35,33,1991,1991-10-27,8,9,26.015,TAM,,GNB,L 0-27,*,2,6,33.33,16,0,2,2.8,1,8,2.67,-12.33,0,0,,0,,0,0,,0,,,,0,0,1,,0,0,0,0,,Chris Chandler,ChanCh00
36,34,1991,1991-11-03,9,10,,TAM,@,MIN,L 13-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Chandler,ChanCh00
37,35,1991,1991-11-10,11,11,,PHO,,NYG,L 14-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Chandler,ChanCh00
38,36,1991,1991-11-17,12,12,,PHO,@,SFO,L 10-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Chandler,ChanCh00
39,37,1991,1991-11-24,13,13,,PHO,,PHI,L 14-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Chandler,ChanCh00
40,38,1991,1991-12-08,14,15,26.057,PHO,,WAS,L 14-20,,3,6,50.00,28,0,0,63.2,0,0,4.67,4.67,1,1,1.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
41,39,1991,1991-12-15,15,16,26.064,PHO,@,DEN,L 19-24,*,15,32,46.88,194,1,0,76.8,5,36,6.06,6.69,3,13,4.33,0,,0,0,,0,,,,0,0,2,,0,1,-7,0,,Chris Chandler,ChanCh00
42,40,1991,1991-12-22,16,17,26.071,PHO,,NOR,L 3-27,*,7,12,58.33,67,0,2,34.4,2,22,5.58,-1.92,4,18,4.50,0,,0,0,,0,,,,0,0,1,,0,0,0,0,,Chris Chandler,ChanCh00
43,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Chris Chandler,ChanCh00
44,41,1992,1992-09-06,1,1,26.330,PHO,@,TAM,L 7-23,,6,9,66.67,31,0,0,72.0,0,0,3.44,3.44,1,10,10.00,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
45,42,1992,1992-09-13,2,2,26.337,PHO,,PHI,L 14-31,,17,29,58.62,211,2,0,104.2,5,44,7.28,8.66,4,8,2.00,0,,0,0,,0,0.0%,,,0,0,1,,0,0,0,0,,Chris Chandler,ChanCh00
46,43,1992,1992-09-20,3,3,26.344,PHO,@,DAL,L 20-31,*,28,43,65.12,383,1,0,101.2,2,12,8.91,9.37,2,12,6.00,0,,0,0,,0,0.0%,,,0,0,1,,0,0,-3,0,,Chris Chandler,ChanCh00
47,44,1992,1992-10-04,4,5,26.358,PHO,,WAS,W 27-24,*,21,31,67.74,196,1,2,68.7,5,33,6.32,4.06,2,9,4.50,0,,0,0,,0,0.0%,,,0,0,2,,0,1,0,0,,Chris Chandler,ChanCh00
48,45,1992,1992-10-11,5,6,26.365,PHO,@,NYG,L 21-31,*,16,30,53.33,209,2,1,83.9,2,16,6.97,6.80,3,22,7.33,1,,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,Chris Chandler,ChanCh00
49,46,1992,1992-10-18,6,7,27.006,PHO,,NOR,L 21-30,*,19,30,63.33,218,2,0,107.4,2,24,7.27,8.60,2,3,1.50,0,,0,0,,0,0.0%,,,0,0,1,,0,1,0,0,,Chris Chandler,ChanCh00
50,47,1992,1992-10-25,7,8,27.013,PHO,@,PHI,L 3-7,*,8,16,50.00,118,0,1,48.4,0,0,7.38,4.56,2,9,4.50,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
51,48,1992,1992-11-01,8,9,27.020,PHO,,SFO,W 24-14,*,19,33,57.58,197,3,1,92.6,0,0,5.97,6.42,4,27,6.75,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
52,49,1992,1992-11-08,9,10,27.027,PHO,@,RAM,W 20-14,*,21,30,70.00,224,0,0,91.5,1,8,7.47,7.47,2,6,3.00,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
53,50,1992,1992-11-15,10,11,27.034,PHO,@,ATL,L 17-20,*,19,34,55.88,261,1,2,65.9,2,22,7.68,5.62,2,-7,-3.50,0,,0,0,,0,0.0%,,,0,0,1,,0,0,-4,0,,Chris Chandler,ChanCh00
54,51,1992,1992-11-22,11,12,27.041,PHO,,DAL,L 10-16,*,5,7,71.43,38,1,0,123.8,1,13,5.43,8.29,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
55,52,1992,1992-11-29,12,13,,PHO,@,WAS,L 3-41,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Chandler,ChanCh00
56,53,1992,1992-12-06,13,14,27.055,PHO,,SDG,L 21-27,*,20,35,57.14,251,2,2,74.8,6,24,7.17,5.74,3,14,4.67,0,,0,0,,0,0.0%,,,0,0,1,,0,0,0,0,,Chris Chandler,ChanCh00
57,54,1992,1992-12-12,14,15,27.061,PHO,,NYG,W 19-0,*,12,18,66.67,130,0,0,87.7,2,29,7.22,7.22,2,23,11.50,0,,0,0,,0,0.0%,,,0,0,1,,0,0,-3,0,,Chris Chandler,ChanCh00
58,55,1992,1992-12-20,15,16,27.069,PHO,@,IND,L 13-16,*,11,25,44.00,131,0,3,21.0,0,0,5.24,-0.16,5,12,2.40,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
59,56,1992,1992-12-27,16,17,27.076,PHO,,TAM,L 3-7,*,23,43,53.49,234,0,3,40.3,1,1,5.44,2.30,2,1,0.50,0,,0,0,,0,0.0%,,,0,0,1,,0,0,0,0,,Chris Chandler,ChanCh00
60,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Chris Chandler,ChanCh00
61,57,1993,1993-09-05,1,1,27.328,PHO,@,PHI,L 17-23,,8,20,40.00,96,1,0,72.1,0,0,4.80,5.80,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
62,58,1993,1993-09-12,2,2,,PHO,@,WAS,W 17-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Chris Chandler,ChanCh00
63,59,1993,1993-09-19,3,3,,PHO,,DAL,L 10-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Chris Chandler,ChanCh00
64,60,1993,1993-09-26,4,4,,PHO,@,DET,L 20-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Chris Chandler,ChanCh00
65,61,1993,1993-10-10,5,6,,PHO,,NWE,L 21-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Chris Chandler,ChanCh00
66,62,1993,1993-10-17,6,7,,PHO,,WAS,W 36-6,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Chris Chandler,ChanCh00
67,63,1993,1993-10-24,7,8,,PHO,@,SFO,L 14-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Chris Chandler,ChanCh00
68,64,1993,1993-10-31,8,9,28.019,PHO,,NOR,L 17-20,,7,17,41.18,40,0,1,24.4,3,20,2.35,-0.29,1,1,1.00,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Chris Chandler,ChanCh00
69,65,1993,1993-11-07,9,10,28.026,PHO,,PHI,W 16-3,*,10,20,50.00,121,1,0,85.6,1,5,6.05,7.05,1,1,1.00,0,,0,0,,0,0.0%,,,0,0,1,,0,0,0,0,,Chris Chandler,ChanCh00
