,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2012,2012-09-09,1,1,22.210,WAS,@,NOR,W 40-32,*,19,26,73.08,320,2,0,139.9,2,14,12.31,13.85,9,42,4.67,0,,0,0,1,0,0,1,0,0,75,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
1,2,2012,2012-09-16,2,2,22.217,WAS,@,STL,L 28-31,*,20,29,68.97,206,1,1,86.3,1,9,7.10,6.24,11,82,7.45,2,,2,12,0,0,0,0,0,0,60,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
2,3,2012,2012-09-23,3,3,22.224,WAS,,CIN,L 31-38,*,21,34,61.76,221,1,0,90.4,5,42,6.50,7.09,13,74,5.69,1,,1,6,3,1,0,1,0,0,76,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
3,4,2012,2012-09-30,4,4,22.231,WAS,@,TAM,W 24-22,*,26,35,74.29,323,0,0,102.4,1,2,9.23,9.23,8,36,4.50,1,,1,6,1,0,0,0,0,0,73,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
4,5,2012,2012-10-07,5,5,22.238,WAS,,ATL,L 17-24,*,10,15,66.67,91,0,0,82.9,2,9,6.07,6.07,1,7,7.00,0,,0,0,0,0,0,0,0,0,36,73%,0,0%,0,0%,,Robert Griffin III,GrifRo01
5,6,2012,2012-10-14,6,6,22.245,WAS,,MIN,W 38-26,*,17,22,77.27,182,1,1,97.2,1,4,8.27,7.14,13,138,10.62,2,,2,12,0,0,0,0,0,0,58,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
6,7,2012,2012-10-21,7,7,22.252,WAS,@,NYG,L 23-27,*,20,28,71.43,258,2,1,108.9,3,26,9.21,9.04,9,89,9.89,0,,0,0,2,1,0,1,0,0,70,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
7,8,2012,2012-10-28,8,8,22.259,WAS,@,PIT,L 12-27,*,16,34,47.06,177,1,0,72.8,1,8,5.21,5.79,6,8,1.33,0,,0,0,1,0,0,1,-7,0,59,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
8,9,2012,2012-11-04,9,9,22.266,WAS,,CAR,L 13-21,*,23,39,58.97,215,0,0,74.2,4,29,5.51,5.51,11,53,4.82,0,,0,0,0,0,0,0,0,0,81,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
9,10,2012,2012-11-18,10,11,22.280,WAS,,PHI,W 31-6,*,14,15,93.33,200,4,0,158.3,2,8,13.33,18.67,12,84,7.00,0,,0,0,1,0,0,0,0,0,53,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
10,11,2012,2012-11-22,11,12,22.284,WAS,@,DAL,W 38-31,*,19,27,70.37,304,4,1,131.8,3,16,11.26,12.56,7,29,4.14,0,,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
11,12,2012,2012-12-03,12,13,22.295,WAS,,NYG,W 17-16,*,13,21,61.90,163,1,0,101.9,0,0,7.76,8.71,5,72,14.40,0,,0,0,1,0,0,0,0,0,54,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
12,13,2012,2012-12-09,13,14,22.301,WAS,,BAL,W 31-28,*,15,26,57.69,242,1,0,101.8,3,24,9.31,10.08,7,34,4.86,0,,0,0,1,0,0,0,-9,0,65,90%,0,0%,0,0%,,Robert Griffin III,GrifRo01
13,14,2012,2012-12-16,14,15,,WAS,@,CLE,W 38-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Robert Griffin III,GrifRo01
14,15,2012,2012-12-23,15,16,22.315,WAS,@,PHI,W 27-20,*,16,24,66.67,198,2,1,102.4,1,13,8.25,8.04,2,4,2.00,0,,0,0,1,0,0,0,0,0,53,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
15,16,2012,2012-12-30,16,17,22.322,WAS,,DAL,W 28-18,*,9,18,50.00,100,0,0,66.9,1,13,5.56,5.56,6,63,10.50,1,,1,6,0,0,0,0,0,0,62,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Robert Griffin III,GrifRo01
17,17,2013,2013-09-09,1,1,23.209,WAS,,PHI,L 27-33,*,30,49,61.22,329,2,2,77.7,3,21,6.71,5.69,5,24,4.80,0,,0,0,1,0,0,0,-5,0,75,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
18,18,2013,2013-09-15,2,2,23.215,WAS,@,GNB,L 20-38,*,26,40,65.00,320,3,1,104.2,1,6,8.00,8.38,4,1,0.25,0,,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
19,19,2013,2013-09-22,3,3,23.222,WAS,,DET,L 20-27,*,32,50,64.00,326,0,1,74.2,2,26,6.52,5.62,6,37,6.17,0,,0,0,3,1,0,2,-10,0,77,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
20,20,2013,2013-09-29,4,4,23.229,WAS,@,OAK,W 24-14,*,18,31,58.06,227,1,0,91.7,1,10,7.32,7.97,3,10,3.33,0,,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
21,21,2013,2013-10-13,5,6,23.243,WAS,@,DAL,L 16-31,*,19,39,48.72,246,0,1,58.3,3,29,6.31,5.15,9,77,8.56,0,,0,0,2,1,0,0,0,0,78,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
22,22,2013,2013-10-20,6,7,23.250,WAS,,CHI,W 45-41,*,18,29,62.07,298,2,1,105.2,1,8,10.28,10.10,11,84,7.64,0,,0,0,1,0,0,0,-17,0,75,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
23,23,2013,2013-10-27,7,8,23.257,WAS,@,DEN,L 21-45,*,15,30,50.00,132,1,2,45.4,3,26,4.40,2.07,5,7,1.40,0,,0,0,2,1,0,0,-4,0,61,86%,0,0%,0,0%,,Robert Griffin III,GrifRo01
24,24,2013,2013-11-03,8,9,23.264,WAS,,SDG,W 30-24,*,23,32,71.88,291,0,1,86.8,0,0,9.09,7.69,6,17,2.83,0,,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
25,25,2013,2013-11-07,9,10,23.268,WAS,@,MIN,L 27-34,*,24,37,64.86,281,3,0,114.8,4,39,7.59,9.22,7,44,6.29,0,,0,0,0,0,0,0,0,0,79,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
26,26,2013,2013-11-17,10,11,23.278,WAS,@,PHI,L 16-24,*,17,35,48.57,264,2,1,81.1,4,28,7.54,7.40,10,44,4.40,0,1,0,2,1,1,0,0,0,0,82,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
27,27,2013,2013-11-25,11,12,23.286,WAS,,SFO,L 6-27,*,16,26,61.54,118,0,1,56.3,6,42,4.54,2.81,4,27,6.75,0,,0,0,1,0,0,0,0,0,60,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
28,28,2013,2013-12-01,12,13,23.292,WAS,,NYG,L 17-24,*,24,32,75.00,207,1,0,102.0,5,23,6.47,7.09,12,88,7.33,0,,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
29,29,2013,2013-12-08,13,14,23.299,WAS,,KAN,L 10-45,*,12,26,46.15,164,1,1,63.6,5,16,6.31,5.35,4,29,7.25,0,,0,0,0,0,0,0,0,0,48,72%,0,0%,0,0%,,Robert Griffin III,GrifRo01
30,30,2013,2013-12-15,14,15,,WAS,@,ATL,L 26-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Robert Griffin III,GrifRo01
31,31,2013,2013-12-22,15,16,,WAS,,DAL,L 23-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Robert Griffin III,GrifRo01
32,32,2013,2013-12-29,16,17,,WAS,@,NYG,L 6-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Robert Griffin III,GrifRo01
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Robert Griffin III,GrifRo01
34,33,2014,2014-09-07,1,1,24.207,WAS,@,HOU,L 6-17,*,29,37,78.38,267,0,0,96.7,3,26,7.22,7.22,3,2,0.67,0,,0,0,2,1,0,1,-3,0,65,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
35,34,2014,2014-09-14,2,2,24.214,WAS,,JAX,W 41-10,*,2,3,66.67,38,0,0,109.7,1,9,12.67,12.67,2,22,11.00,0,,0,0,0,0,0,0,0,0,9,11%,0,0%,0,0%,,Robert Griffin III,GrifRo01
36,35,2014,2014-09-21,3,3,,WAS,@,PHI,L 34-37,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Robert Griffin III,GrifRo01
37,36,2014,2014-09-25,4,4,,WAS,,NYG,L 14-45,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Robert Griffin III,GrifRo01
38,37,2014,2014-10-06,5,5,,WAS,,SEA,L 17-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Robert Griffin III,GrifRo01
39,38,2014,2014-10-12,6,6,,WAS,@,ARI,L 20-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Robert Griffin III,GrifRo01
40,39,2014,2014-10-19,7,7,,WAS,,TEN,W 19-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Robert Griffin III,GrifRo01
41,40,2014,2014-10-27,8,8,,WAS,@,DAL,W 20-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Robert Griffin III,GrifRo01
42,41,2014,2014-11-02,9,9,24.263,WAS,@,MIN,L 26-29,*,18,28,64.29,251,1,1,90.0,5,26,8.96,8.07,7,24,3.43,0,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
43,42,2014,2014-11-16,10,11,24.277,WAS,,TAM,L 7-27,*,23,32,71.88,207,1,2,73.3,6,40,6.47,4.28,6,41,6.83,0,,0,0,1,0,0,1,0,0,72,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
44,43,2014,2014-11-23,11,12,24.284,WAS,@,SFO,L 13-17,*,11,19,57.89,106,0,0,73.6,5,29,5.58,5.58,4,11,2.75,0,,0,0,1,1,0,0,0,0,55,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
45,44,2014,2014-11-30,12,13,,WAS,@,IND,L 27-49,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Robert Griffin III,GrifRo01
46,45,2014,2014-12-07,13,14,24.298,WAS,,STL,L 0-24,,3,4,75.00,33,0,0,99.0,1,8,8.25,8.25,0,0,,0,,0,0,0,0,0,0,0,0,5,9%,0,0%,0,0%,,Robert Griffin III,GrifRo01
47,46,2014,2014-12-14,14,15,24.305,WAS,@,NYG,L 13-24,,18,27,66.67,236,1,0,106.4,7,47,8.74,9.48,5,46,9.20,0,,0,0,3,1,0,0,0,0,58,83%,0,0%,0,0%,,Robert Griffin III,GrifRo01
48,47,2014,2014-12-20,15,16,24.311,WAS,,PHI,W 27-24,*,16,23,69.57,220,0,1,81.8,2,15,9.57,7.61,5,11,2.20,0,,0,0,1,0,0,1,-4,0,57,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
49,48,2014,2014-12-28,16,17,24.319,WAS,,DAL,L 17-44,*,27,41,65.85,336,1,2,78.9,3,27,8.20,6.49,6,19,3.17,1,,1,6,1,1,0,0,0,0,69,100%,0,0%,0,0%,,Robert Griffin III,GrifRo01
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Robert Griffin III,GrifRo01
51,49,2015,2015-09-13,1,1,,WAS,,MIA,L 10-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Robert Griffin III,GrifRo01
52,50,2015,2015-09-20,2,2,,WAS,,STL,W 24-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Robert Griffin III,GrifRo01
53,51,2015,2015-09-24,3,3,,WAS,@,NYG,L 21-32,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Robert Griffin III,GrifRo01
54,52,2015,2015-10-04,4,4,,WAS,,PHI,W 23-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Robert Griffin III,GrifRo01
55,53,2015,2015-10-11,5,5,,WAS,@,ATL,L 19-25,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Robert Griffin III,GrifRo01
56,54,2015,2015-10-18,6,6,,WAS,@,NYJ,L 20-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Robert Griffin III,GrifRo01
57,55,2015,2015-10-25,7,7,,WAS,,TAM,W 31-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Robert Griffin III,GrifRo01
