,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,qb,qb_tag
80,75,1978,1978-09-10,2,2,29.114,NOR,@,GNB,L 17-28,*,33,53,62.26,303,1,1,76.2,1,8,5.72,5.25,1,8,8.00,0,,,,,0,0,Archie Manning,MannAr00
81,76,1978,1978-09-17,3,3,29.121,NOR,,PHI,L 17-24,*,17,32,53.13,239,1,3,48.8,3,19,7.47,3.88,2,5,2.50,0,,,,,0,0,Archie Manning,MannAr00
82,77,1978,1978-09-24,4,4,29.128,NOR,@,CIN,W 20-18,*,14,25,56.00,208,0,1,66.7,4,28,8.32,6.52,3,28,9.33,0,,,,,0,0,Archie Manning,MannAr00
83,78,1978,1978-10-01,5,5,29.135,NOR,,RAM,L 20-26,*,17,27,62.96,208,3,1,108.3,4,36,7.70,8.26,5,48,9.60,0,,,,,0,0,Archie Manning,MannAr00
84,79,1978,1978-10-08,6,6,29.142,NOR,,CLE,L 16-24,*,24,39,61.54,249,1,1,77.8,2,18,6.38,5.74,3,14,4.67,1,,,,,1,6,Archie Manning,MannAr00
85,80,1978,1978-10-15,7,7,29.149,NOR,@,SFO,W 14-7,*,2,4,50.00,31,1,0,115.6,,,7.75,12.75,3,10,3.33,0,,,,,0,0,Archie Manning,MannAr00
86,81,1978,1978-10-22,8,8,29.156,NOR,@,RAM,W 10-3,*,11,22,50.00,130,1,0,83.5,4,52,5.91,6.82,,,,,,,,,0,0,Archie Manning,MannAr00
87,82,1978,1978-10-29,9,9,29.163,NOR,,NYG,W 28-17,*,13,21,61.90,166,2,0,118.4,4,27,7.90,9.81,3,19,6.33,0,,,,,0,0,Archie Manning,MannAr00
88,83,1978,1978-11-05,10,10,29.170,NOR,@,PIT,L 14-20,*,22,32,68.75,344,1,1,101.6,1,4,10.75,9.97,2,-1,-0.50,0,,,,,0,0,Archie Manning,MannAr00
89,84,1978,1978-11-12,11,11,29.177,NOR,,ATL,L 17-20,*,14,25,56.00,169,1,0,90.2,3,24,6.76,7.56,3,16,5.33,0,,,,,0,0,Archie Manning,MannAr00
90,85,1978,1978-11-19,12,12,29.184,NOR,@,DAL,L 7-27,*,24,38,63.16,235,0,3,47.6,2,20,6.18,2.63,2,14,7.00,0,,,,,0,0,Archie Manning,MannAr00
91,86,1978,1978-11-26,13,13,29.191,NOR,@,ATL,L 17-20,*,13,24,54.17,241,1,1,85.6,4,36,10.04,9.00,1,-1,-1.00,0,,,,,0,0,Archie Manning,MannAr00
92,87,1978,1978-12-03,14,14,29.198,NOR,,SFO,W 24-13,*,22,34,64.71,199,2,1,87.7,1,9,5.85,5.71,2,11,5.50,0,,,,,0,0,Archie Manning,MannAr00
93,88,1978,1978-12-10,15,15,29.205,NOR,,HOU,L 12-17,*,25,37,67.57,251,1,1,84.4,2,10,6.78,6.11,1,9,9.00,0,,,,,0,0,Archie Manning,MannAr00
94,89,1978,1978-12-17,16,16,29.212,NOR,@,TAM,W 17-10,*,25,36,69.44,250,1,2,75.0,,,6.94,5.00,3,1,0.33,0,,,,,0,0,Archie Manning,MannAr00
95,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Archie Manning,MannAr00
96,90,1979,1979-09-02,1,1,30.106,NOR,,ATL,L 34-40,*,14,29,48.28,284,1,1,80.2,,,9.79,8.93,,,,,,,,,0,0,Archie Manning,MannAr00
97,91,1979,1979-09-09,2,2,30.113,NOR,@,GNB,L 19-28,*,28,45,62.22,291,1,2,69.8,1,2,6.47,4.91,2,28,14.00,0,,,,,0,0,Archie Manning,MannAr00
98,92,1979,1979-09-16,3,3,30.120,NOR,,PHI,L 14-26,*,15,25,60.00,189,1,2,63.6,3,29,7.56,4.76,1,15,15.00,0,,,,,0,0,Archie Manning,MannAr00
99,93,1979,1979-09-23,4,4,30.127,NOR,@,SFO,W 30-21,*,20,28,71.43,355,2,0,137.5,2,17,12.68,14.11,2,-2,-1.00,0,,,,,0,0,Archie Manning,MannAr00
100,94,1979,1979-09-30,5,5,30.134,NOR,,NYG,W 24-14,*,17,33,51.52,202,1,2,55.4,1,7,6.12,4.00,2,6,3.00,0,,,,,0,0,Archie Manning,MannAr00
101,95,1979,1979-10-07,6,6,30.141,NOR,,RAM,L 17-35,*,15,32,46.88,143,1,5,30.6,1,11,4.47,-1.94,1,0,0.00,0,,,,,0,0,Archie Manning,MannAr00
102,96,1979,1979-10-14,7,7,30.148,NOR,@,TAM,W 42-14,*,11,14,78.57,141,1,0,132.4,,,10.07,11.50,1,2,2.00,1,,,,,1,6,Archie Manning,MannAr00
103,97,1979,1979-10-21,8,8,30.155,NOR,,DET,W 17-7,*,17,22,77.27,130,1,3,66.7,1,5,5.91,0.68,4,8,2.00,0,,,,,0,0,Archie Manning,MannAr00
104,98,1979,1979-10-28,9,9,30.162,NOR,@,WAS,W 14-10,*,11,16,68.75,131,1,0,114.3,,,8.19,9.44,4,9,2.25,0,,,,,0,0,Archie Manning,MannAr00
105,99,1979,1979-11-04,10,10,30.169,NOR,@,DEN,L 3-10,*,13,26,50.00,117,0,1,46.5,,,4.50,2.77,1,3,3.00,0,,,,,0,0,Archie Manning,MannAr00
106,100,1979,1979-11-11,11,11,30.176,NOR,,SFO,W 31-20,*,15,22,68.18,153,0,0,87.9,,,6.95,6.95,3,27,9.00,0,,,,,0,0,Archie Manning,MannAr00
107,101,1979,1979-11-18,12,12,30.183,NOR,@,SEA,L 24-38,*,20,27,74.07,268,1,0,117.5,3,30,9.93,10.67,5,18,3.60,1,,,,,1,6,Archie Manning,MannAr00
108,102,1979,1979-11-25,13,13,30.190,NOR,@,ATL,W 37-6,*,14,31,45.16,264,1,0,86.0,,,8.52,9.16,1,20,20.00,0,,,,,0,0,Archie Manning,MannAr00
109,103,1979,1979-12-03,14,14,30.198,NOR,,OAK,L 35-42,*,12,23,52.17,154,2,1,84.3,2,13,6.70,6.48,4,9,2.25,0,,,,,0,0,Archie Manning,MannAr00
110,104,1979,1979-12-09,15,15,30.204,NOR,,SDG,L 0-35,*,20,32,62.50,185,0,0,78.3,1,10,5.78,5.78,1,11,11.00,0,,,,,0,0,Archie Manning,MannAr00
111,105,1979,1979-12-16,16,16,30.211,NOR,@,RAM,W 29-14,*,10,15,66.67,162,1,3,85.3,2,16,10.80,3.13,3,32,10.67,0,,,,,0,0,Archie Manning,MannAr00
112,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Archie Manning,MannAr00
113,106,1980,1980-09-07,1,1,31.111,NOR,,SFO,L 23-26,*,25,40,62.50,314,1,0,95.2,1,10,7.85,8.35,1,3,3.00,0,,,,,0,0,Archie Manning,MannAr00
114,107,1980,1980-09-14,2,2,31.118,NOR,@,CHI,L 3-22,*,15,27,55.56,168,0,2,43.4,5,42,6.22,2.89,2,10,5.00,0,,,,,0,0,Archie Manning,MannAr00
115,108,1980,1980-09-21,3,3,31.125,NOR,,BUF,L 26-35,*,24,34,70.59,285,2,0,115.4,1,7,8.38,9.56,1,14,14.00,0,,,,,0,0,Archie Manning,MannAr00
116,109,1980,1980-09-28,4,4,31.132,NOR,@,MIA,L 16-21,*,20,35,57.14,201,1,2,59.3,2,18,5.74,3.74,1,3,3.00,0,,,,,0,0,Archie Manning,MannAr00
117,110,1980,1980-10-05,5,5,31.139,NOR,,STL,L 7-40,*,5,9,55.56,49,0,1,31.5,,,5.44,0.44,,,,,,,,,0,0,Archie Manning,MannAr00
118,111,1980,1980-10-12,6,6,31.146,NOR,@,DET,L 13-24,*,25,36,69.44,314,1,0,105.6,6,38,8.72,9.28,1,-4,-4.00,0,,,,,0,0,Archie Manning,MannAr00
119,112,1980,1980-10-19,7,7,31.153,NOR,,ATL,L 14-41,*,23,32,71.88,323,2,3,85.8,2,21,10.09,7.13,,,,,,,,,0,0,Archie Manning,MannAr00
120,113,1980,1980-10-26,8,8,31.160,NOR,@,WAS,L 14-22,*,12,24,50.00,124,1,3,39.6,5,41,5.17,0.38,2,44,22.00,0,,,,,0,0,Archie Manning,MannAr00
121,114,1980,1980-11-02,9,9,31.167,NOR,@,RAM,L 31-45,*,24,48,50.00,263,3,1,78.7,2,20,5.48,5.79,,,,,,,,,0,0,Archie Manning,MannAr00
122,115,1980,1980-11-09,10,10,31.174,NOR,,PHI,L 21-34,*,25,40,62.50,306,3,1,100.6,2,14,7.65,8.03,2,21,10.50,0,,,,,0,0,Archie Manning,MannAr00
123,116,1980,1980-11-16,11,11,31.181,NOR,@,ATL,L 13-31,*,12,20,60.00,153,1,2,61.0,2,21,7.65,4.15,2,12,6.00,0,,,,,0,0,Archie Manning,MannAr00
124,117,1980,1980-11-24,12,12,31.189,NOR,,RAM,L 7-27,*,12,26,46.15,92,0,2,23.2,7,51,3.54,0.08,2,18,9.00,0,,,,,0,0,Archie Manning,MannAr00
125,118,1980,1980-11-30,13,13,31.195,NOR,,MIN,L 20-23,*,19,31,61.29,248,3,2,91.9,2,12,8.00,7.03,1,10,10.00,0,,,,,0,0,Archie Manning,MannAr00
126,119,1980,1980-12-07,14,14,31.202,NOR,@,SFO,L 35-38,*,24,38,63.16,377,3,1,111.4,2,1,9.92,10.32,2,4,2.00,0,,,,,0,0,Archie Manning,MannAr00
127,120,1980,1980-12-14,15,15,31.209,NOR,@,NYJ,W 21-20,*,20,30,66.67,198,1,0,96.2,1,7,6.60,7.27,1,4,4.00,0,,,,,0,0,Archie Manning,MannAr00
128,121,1980,1980-12-21,16,16,31.216,NOR,,NWE,L 27-38,*,24,39,61.54,301,1,0,94.1,1,8,7.72,8.23,5,27,5.40,0,,,,,0,0,Archie Manning,MannAr00
129,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Archie Manning,MannAr00
130,122,1981,1981-09-06,1,1,32.110,NOR,@,ATL,L 0-27,*,15,28,53.57,122,0,0,64.9,3,20,4.36,4.36,0,0,,0,0,0,,0,0,0,Archie Manning,MannAr00
131,123,1981,1981-09-13,2,2,32.117,NOR,,RAM,W 23-17,*,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,1,13,13.00,0,0,0,,0,0,0,Archie Manning,MannAr00
132,124,1981,1981-09-27,4,4,32.131,NOR,@,SFO,L 14-21,,10,16,62.50,70,1,1,67.2,0,0,4.38,2.81,0,0,,0,0,0,,0,0,0,Archie Manning,MannAr00
133,125,1981,1981-10-11,6,6,32.145,NOR,,PHI,L 14-31,*,4,15,26.67,43,0,1,11.8,3,29,2.87,-0.13,0,0,,0,0,0,,0,0,0,Archie Manning,MannAr00
134,126,1981,1981-10-18,7,7,32.152,NOR,@,CLE,L 17-20,*,16,28,57.14,199,0,0,79.3,2,15,7.11,7.11,0,0,,0,0,0,,0,0,0,Archie Manning,MannAr00
135,127,1981,1981-10-25,8,8,32.159,NOR,,CIN,W 17-7,*,15,24,62.50,170,1,1,80.2,2,20,7.08,6.04,1,15,15.00,0,0,0,,0,0,0,Archie Manning,MannAr00
136,128,1981,1981-11-01,9,9,32.166,NOR,,ATL,L 10-41,*,17,29,58.62,198,1,0,90.9,1,6,6.83,7.52,0,0,,0,0,0,,0,0,0,Archie Manning,MannAr00
137,129,1981,1981-11-22,12,12,32.187,NOR,@,HOU,W 27-24,*,10,14,71.43,147,1,0,129.2,1,5,10.50,11.93,0,0,,0,0,0,,0,0,0,Archie Manning,MannAr00
138,130,1981,1981-11-29,13,13,32.194,NOR,,TAM,L 14-31,*,16,23,69.57,162,1,2,67.7,2,11,7.04,4.00,0,0,,0,0,0,,0,0,0,Archie Manning,MannAr00
139,131,1981,1981-12-06,14,14,32.201,NOR,@,STL,L 3-30,*,7,17,41.18,105,0,2,22.5,5,37,6.18,0.88,0,0,,0,0,0,,0,0,0,Archie Manning,MannAr00
140,132,1981,1981-12-13,15,15,32.208,NOR,,GNB,L 7-35,*,10,15,66.67,121,0,3,51.7,0,0,8.07,-0.93,0,0,,0,0,0,,0,0,0,Archie Manning,MannAr00
141,133,1981,1981-12-20,16,16,32.215,NOR,,SFO,L 17-21,*,14,21,66.67,110,0,1,59.6,2,21,5.24,3.10,0,0,,0,0,0,,0,0,0,Archie Manning,MannAr00
142,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Archie Manning,MannAr00
143,134,1982,1982-09-12,1,1,33.116,NOR,,STL,L 7-21,,1,7,14.29,3,0,2,0.0,2,18,0.43,-12.43,0,0,,0,0,0,,0,0,0,Archie Manning,MannAr00
144,135,1982,1982-11-21,3,11,33.186,HOU,,PIT,L 10-24,,1,5,20.00,23,0,0,46.2,3,23,4.60,4.60,2,9,4.50,0,0,0,,0,0,0,Archie Manning,MannAr00
145,136,1982,1982-11-28,4,12,33.193,HOU,@,NWE,L 21-29,*,19,33,57.58,231,2,1,86.8,6,62,7.00,6.85,4,35,8.75,0,0,0,,0,0,0,Archie Manning,MannAr00
146,137,1982,1982-12-05,5,13,33.200,HOU,@,NYG,L 14-17,*,15,20,75.00,189,1,0,120.6,5,37,9.45,10.45,0,0,,0,0,0,,0,0,0,Archie Manning,MannAr00
147,138,1982,1982-12-13,6,14,33.208,HOU,,DAL,L 7-37,*,12,33,36.36,199,1,0,67.6,6,39,6.03,6.64,1,0,0.00,0,0,0,,0,0,0,Archie Manning,MannAr00
148,139,1982,1982-12-19,7,15,33.214,HOU,@,PHI,L 14-35,*,18,30,60.00,230,2,4,66.7,7,55,7.67,3.00,4,22,5.50,0,0,0,,0,0,0,Archie Manning,MannAr00
149,140,1982,1982-12-26,8,16,33.221,HOU,,CLE,L 14-20,*,1,4,25.00,5,0,1,0.0,0,0,1.25,-10.00,2,19,9.50,0,0,0,,0,0,0,Archie Manning,MannAr00
150,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Archie Manning,MannAr00
151,141,1983,1983-09-04,1,1,34.108,HOU,,GNB,L 38-41,*,22,34,64.71,348,1,2,83.9,0,0,10.24,8.18,0,0,,0,0,0,,0,0,0,Archie Manning,MannAr00
152,142,1983,1983-09-11,2,2,34.115,HOU,@,RAI,L 6-20,*,6,19,31.58,107,0,2,12.3,5,37,5.63,0.89,1,11,11.00,0,0,0,,0,0,0,Archie Manning,MannAr00
153,143,1983,1983-09-18,3,3,34.122,HOU,,PIT,L 28-40,*,16,35,45.71,300,1,4,45.8,6,46,8.57,4.00,1,2,2.00,0,0,0,,0,0,0,Archie Manning,MannAr00
154,144,1983,1983-10-16,7,7,34.150,MIN,,HOU,W 34-14,,0,0,,0,0,0,,,,,,1,-1,-1.00,0,0,0,,0,0,0,Archie Manning,MannAr00
155,145,1983,1983-11-20,12,12,34.185,MIN,@,PIT,W 17-14,,,,,,,,,,,,,0,0,,0,,,,,0,0,Archie Manning,MannAr00
156,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Archie Manning,MannAr00
157,146,1984,1984-10-07,6,6,35.141,MIN,@,TAM,L 31-35,,1,2,50.00,7,0,0,58.3,0,0,3.50,3.50,1,0,0.00,0,0,0,,0,0,0,Archie Manning,MannAr00
158,147,1984,1984-10-21,8,8,35.155,MIN,,DET,L 14-16,,5,14,35.71,40,0,1,14.6,3,15,2.86,-0.36,2,10,5.00,0,0,0,,0,0,0,Archie Manning,MannAr00
159,148,1984,1984-10-28,9,9,35.162,MIN,@,CHI,L 7-16,*,14,24,58.33,138,0,1,57.3,11,101,5.75,3.88,4,20,5.00,0,0,0,,0,0,0,Archie Manning,MannAr00
160,149,1984,1984-11-29,14,14,35.194,MIN,,WAS,L 17-31,,11,22,50.00,164,2,0,105.1,0,0,7.45,9.27,2,13,6.50,0,0,0,,0,0,0,Archie Manning,MannAr00
161,150,1984,1984-12-08,15,15,35.203,MIN,@,SFO,L 7-51,*,3,7,42.86,21,0,0,50.3,2,22,3.00,3.00,1,1,1.00,0,0,0,,0,0,0,Archie Manning,MannAr00
162,151,1984,1984-12-16,16,16,35.211,MIN,,GNB,L 14-38,,18,25,72.00,175,0,1,74.6,2,15,7.00,5.20,1,-2,-2.00,0,0,0,,0,0,0,Archie Manning,MannAr00
163,,,151 Games,,,,,,,38-110-3,,2011,3642,55.22,23911,125,173,67.1,396,3092,6.57,5.11,384,2197,5.72,18,1,-7,-7.00,0,18,108,Archie Manning,MannAr00
