,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Punting,Punting,Punting,Punting,Unnamed: 38_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,,
0,1,1985,1985-09-09,1,1,24.073,WAS,@,DAL,L 14-44,,4,8,50.00,51,0,1,30.7,1,2,6.38,0.75,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
1,2,1985,1985-09-29,4,4,24.093,WAS,@,CHI,L 10-45,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0,,0,0,0,0,4,132,33.00,0,,Jay Schroeder,SchrJa00
2,3,1985,1985-11-03,9,9,24.128,WAS,@,ATL,W 44-10,,0,0,,0,0,0,,0,,,,1,-1,-1.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
3,4,1985,1985-11-18,11,11,24.143,WAS,,NYG,W 23-21,,13,20,65.00,221,1,0,119.0,1,4,11.05,12.05,7,15,2.14,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
4,5,1985,1985-11-24,12,12,24.149,WAS,@,PIT,W 30-23,*,15,28,53.57,176,1,0,84.8,0,0,6.29,7.00,2,-2,-1.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
5,6,1985,1985-12-01,13,13,24.156,WAS,,SFO,L 8-35,*,30,58,51.72,348,0,2,55.8,4,37,6.00,4.45,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
6,7,1985,1985-12-08,14,14,24.163,WAS,@,PHI,W 17-12,*,16,29,55.17,175,1,1,70.3,4,31,6.03,5.17,4,17,4.25,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
7,8,1985,1985-12-15,15,15,24.170,WAS,,CIN,W 27-24,*,18,35,51.43,273,1,1,75.1,2,18,7.80,7.09,1,-2,-2.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
8,9,1985,1985-12-21,16,16,24.176,WAS,@,STL,W 27-16,*,16,31,51.61,214,1,0,84.6,3,22,6.90,7.55,2,3,1.50,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
9,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Jay Schroeder,SchrJa00
10,10,1986,1986-09-07,1,1,25.071,WAS,,PHI,W 41-14,*,19,38,50.00,289,2,1,82.0,2,15,7.61,7.47,4,11,2.75,1,1,6,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
11,11,1986,1986-09-14,2,2,25.078,WAS,,RAI,W 10-6,*,12,19,63.16,213,0,1,79.5,4,38,11.21,8.84,4,-2,-0.50,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
12,12,1986,1986-09-21,3,3,25.085,WAS,@,SDG,W 30-27,*,16,36,44.44,341,1,0,87.8,1,8,9.47,10.03,5,-17,-3.40,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
13,13,1986,1986-09-28,4,4,25.092,WAS,,SEA,W 19-14,*,14,26,53.85,195,0,0,78.2,0,0,7.50,7.50,2,9,4.50,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
14,14,1986,1986-10-05,5,5,25.099,WAS,@,NOR,W 14-6,*,14,27,51.85,170,1,0,83.9,1,1,6.30,7.04,4,3,0.75,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
15,15,1986,1986-10-12,6,6,25.106,WAS,@,DAL,L 6-30,*,12,29,41.38,132,0,1,41.2,4,19,4.55,3.00,1,-2,-2.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
16,16,1986,1986-10-19,7,7,25.113,WAS,,STL,W 28-21,*,13,23,56.52,232,3,1,112.7,0,0,10.09,10.74,1,3,3.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
17,17,1986,1986-10-27,8,8,25.121,WAS,@,NYG,L 20-27,*,22,40,55.00,420,1,2,79.2,4,42,10.50,8.75,1,2,2.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
18,18,1986,1986-11-02,9,9,25.127,WAS,,MIN,W 44-38,*,24,47,51.06,378,2,1,83.5,1,0,8.04,7.94,2,8,4.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
19,19,1986,1986-11-09,10,10,25.134,WAS,@,GNB,W 16-7,*,13,23,56.52,167,2,0,108.4,0,0,7.26,9.00,5,-3,-0.60,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
20,20,1986,1986-11-17,11,11,25.142,WAS,,SFO,W 14-6,*,17,40,42.50,170,1,2,42.7,3,40,4.25,2.50,3,12,4.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
21,21,1986,1986-11-23,12,12,25.148,WAS,,DAL,W 41-14,*,16,31,51.61,325,2,1,96.8,1,9,10.48,10.32,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
22,22,1986,1986-11-30,13,13,25.155,WAS,@,STL,W 20-17,*,23,44,52.27,256,2,1,75.6,0,0,5.82,5.70,1,9,9.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
23,23,1986,1986-12-07,14,14,25.162,WAS,,NYG,L 14-24,*,28,51,54.90,309,1,6,40.0,4,33,6.06,1.16,1,1,1.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
24,24,1986,1986-12-13,15,15,25.168,WAS,@,DEN,L 30-31,*,15,33,45.45,285,2,2,70.9,0,0,8.64,7.12,2,13,6.50,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
25,25,1986,1986-12-21,16,16,25.176,WAS,@,PHI,W 21-14,*,18,34,52.94,227,2,3,56.9,3,35,6.68,3.88,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
26,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Jay Schroeder,SchrJa00
27,26,1987,1987-09-13,1,1,26.077,WAS,,PHI,W 34-24,*,0,3,0.00,0,0,0,39.6,0,0,0.00,0.00,1,31,31.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
28,27,1987,1987-10-25,6,7,26.119,WAS,,NYJ,W 17-16,*,15,38,39.47,275,2,1,71.7,0,0,7.24,7.11,2,2,1.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
29,28,1987,1987-11-01,7,8,26.126,WAS,@,BUF,W 27-7,*,11,18,61.11,132,2,0,120.6,2,25,7.33,9.56,3,15,5.00,1,1,6,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
30,29,1987,1987-11-08,8,9,26.133,WAS,@,PHI,L 27-31,*,16,46,34.78,265,2,2,51.4,3,34,5.76,4.67,2,9,4.50,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
31,30,1987,1987-11-15,9,10,26.140,WAS,,DET,W 20-13,*,5,10,50.00,33,0,0,57.5,1,14,3.30,3.30,1,2,2.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
32,31,1987,1987-11-23,10,11,26.148,WAS,,RAM,L 26-30,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,,,,,,0,0,,,,Jay Schroeder,SchrJa00
33,32,1987,1987-11-29,11,12,26.154,WAS,,NYG,W 23-19,*,28,46,60.87,331,3,2,86.4,6,56,7.20,6.54,4,19,4.75,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
34,33,1987,1987-12-06,12,13,26.161,WAS,@,STL,W 34-17,*,13,25,52.00,235,2,1,94.6,1,4,9.40,9.20,8,27,3.38,1,1,6,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
35,34,1987,1987-12-13,13,14,26.168,WAS,,DAL,W 24-20,*,13,26,50.00,250,1,1,80.6,2,1,9.62,8.65,3,-4,-1.33,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
36,35,1987,1987-12-20,14,15,26.175,WAS,@,MIA,L 21-23,*,19,38,50.00,272,0,1,62.6,1,4,7.16,5.97,2,19,9.50,1,1,6,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
37,36,1987,1987-12-26,15,16,26.181,WAS,@,MIN,W 27-24,*,9,17,52.94,85,0,2,27.5,1,11,5.00,-0.29,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
38,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Jay Schroeder,SchrJa00
39,37,1988,1988-09-26,4,4,27.090,RAI,@,DEN,W 30-27,*,13,35,37.14,242,2,1,69.0,1,7,6.91,6.77,6,36,6.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
40,38,1988,1988-10-02,5,5,27.096,RAI,,CIN,L 21-45,*,17,44,38.64,324,2,4,42.2,2,15,7.36,4.18,4,14,3.50,1,1,6,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
41,39,1988,1988-10-09,6,6,27.103,RAI,,MIA,L 14-24,*,21,37,56.76,293,2,4,60.8,3,27,7.92,4.14,3,12,4.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
42,40,1988,1988-10-16,7,7,27.110,RAI,@,KAN,W 27-17,*,7,17,41.18,68,0,0,53.1,2,19,4.00,4.00,3,0,0.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
43,41,1988,1988-10-23,8,8,27.117,RAI,@,NOR,L 6-20,*,5,20,25.00,116,1,1,47.1,1,14,5.80,4.55,2,14,7.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
44,42,1988,1988-11-28,13,13,27.153,RAI,@,SEA,L 27-35,,4,11,36.36,84,0,1,26.3,1,9,7.64,3.55,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
45,43,1988,1988-12-04,14,14,27.159,RAI,,DEN,W 21-20,*,10,19,52.63,131,1,1,70.3,4,44,6.89,5.58,5,8,1.60,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
46,44,1988,1988-12-11,15,15,27.166,RAI,@,BUF,L 21-37,*,14,24,58.33,227,2,0,117.9,2,20,9.46,11.13,3,7,2.33,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
47,45,1988,1988-12-18,16,16,27.173,RAI,,SEA,L 37-43,*,22,49,44.90,354,3,1,81.5,3,23,7.22,7.53,3,18,6.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
48,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Jay Schroeder,SchrJa00
49,46,1989,1989-09-10,1,1,28.074,RAI,,SDG,W 40-14,*,2,3,66.67,79,1,0,149.3,0,0,26.33,33.00,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
50,47,1989,1989-09-17,2,2,28.081,RAI,@,KAN,L 19-24,*,14,21,66.67,192,2,1,107.6,4,39,9.14,8.90,1,12,12.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
51,48,1989,1989-09-24,3,3,28.088,RAI,@,DEN,L 21-31,*,15,28,53.57,290,1,3,62.2,3,20,10.36,6.25,4,18,4.50,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
52,49,1989,1989-10-01,4,4,28.095,RAI,,SEA,L 20-24,*,16,30,53.33,213,1,1,73.3,2,16,7.10,6.27,1,10,10.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
53,50,1989,1989-10-09,5,5,28.103,RAI,@,NYJ,W 14-7,*,11,24,45.83,197,1,1,71.0,3,12,8.21,7.17,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
54,51,1989,1989-10-15,6,6,28.109,RAI,,KAN,W 20-14,*,5,16,31.25,87,0,1,24.7,1,13,5.44,2.63,1,3,3.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
55,52,1989,1989-10-22,7,7,28.116,RAI,@,PHI,L 7-10,*,7,22,31.82,87,0,1,26.1,2,12,3.95,1.91,2,2,1.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
56,53,1989,1989-10-29,8,8,28.123,RAI,,WAS,W 37-24,,1,8,12.50,1,0,1,0.0,0,0,0.13,-5.50,2,-9,-4.50,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
57,54,1989,1989-11-05,9,9,28.130,RAI,,CIN,W 28-7,*,8,17,47.06,231,2,1,108.1,2,8,13.59,13.29,3,0,0.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
58,55,1989,1989-11-12,10,10,28.137,RAI,@,SDG,L 12-14,*,12,25,48.00,173,0,3,31.3,3,12,6.92,1.52,1,2,2.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
59,56,1989,1989-12-24,16,16,28.179,RAI,@,NYG,L 17-34,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,,,Jay Schroeder,SchrJa00
60,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Jay Schroeder,SchrJa00
61,57,1990,1990-09-09,1,1,29.073,RAI,,DEN,W 14-9,*,9,18,50.00,118,0,1,47.9,5,47,6.56,4.06,2,2,1.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
62,58,1990,1990-09-16,2,2,29.080,RAI,@,SEA,W 17-13,*,10,17,58.82,236,1,0,122.8,1,1,13.88,15.06,3,11,3.67,0,0,0,1,,0,1,-3,0,0,0,,0,,Jay Schroeder,SchrJa00
63,59,1990,1990-09-23,3,3,29.087,RAI,,PIT,W 20-3,*,9,19,47.37,148,1,0,91.6,0,0,7.79,8.84,2,1,0.50,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
64,60,1990,1990-09-30,4,4,29.094,RAI,,CHI,W 24-10,*,8,15,53.33,178,0,0,96.0,1,8,11.87,11.87,3,8,2.67,0,0,0,2,,0,1,-7,0,0,0,,0,,Jay Schroeder,SchrJa00
65,61,1990,1990-10-07,5,5,29.101,RAI,@,BUF,L 24-38,*,17,29,58.62,244,2,1,94.6,2,19,8.41,8.24,0,0,,0,0,0,2,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
66,62,1990,1990-10-14,6,6,29.108,RAI,,SEA,W 24-17,*,19,26,73.08,235,3,0,139.1,1,8,9.04,11.35,6,3,0.50,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
67,63,1990,1990-10-21,7,7,29.115,RAI,@,SDG,W 24-9,*,11,20,55.00,176,1,1,80.4,1,3,8.80,7.55,2,-6,-3.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
68,64,1990,1990-11-04,8,9,29.129,RAI,@,KAN,L 7-9,*,10,31,32.26,139,0,1,34.2,1,1,4.48,3.03,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
69,65,1990,1990-11-11,9,10,29.136,RAI,,GNB,L 16-29,*,11,23,47.83,139,0,3,27.5,5,27,6.04,0.17,1,3,3.00,0,0,0,1,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
70,66,1990,1990-11-19,10,11,29.144,RAI,@,MIA,W 13-10,*,10,19,52.63,116,0,0,71.4,0,0,6.11,6.11,3,-6,-2.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
71,67,1990,1990-11-25,11,12,29.150,RAI,,KAN,L 24-27,*,9,18,50.00,202,0,0,90.5,5,27,11.22,11.22,3,33,11.00,0,0,0,3,,0,0,-3,0,0,0,,0,,Jay Schroeder,SchrJa00
72,68,1990,1990-12-02,12,13,29.157,RAI,@,DEN,W 23-20,*,16,23,69.57,164,0,0,89.8,2,19,7.13,7.13,2,-2,-1.00,0,0,0,1,,0,0,-6,0,0,0,,0,,Jay Schroeder,SchrJa00
73,69,1990,1990-12-10,13,14,29.165,RAI,@,DET,W 38-31,*,12,19,63.16,195,3,2,97.5,2,9,10.26,8.68,3,11,3.67,0,0,0,1,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
74,70,1990,1990-12-16,14,15,29.171,RAI,,CIN,W 24-7,*,10,20,50.00,163,3,0,117.3,0,0,8.15,11.15,0,0,,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
75,71,1990,1990-12-22,15,16,29.177,RAI,@,MIN,W 28-24,*,10,15,66.67,234,4,0,149.3,0,0,15.60,20.93,2,5,2.50,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
76,72,1990,1990-12-30,16,17,29.185,RAI,,SDG,W 17-12,*,11,22,50.00,162,1,0,89.6,3,28,7.36,8.27,5,18,3.60,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
77,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Jay Schroeder,SchrJa00
78,73,1991,1991-09-01,1,1,30.065,RAI,@,HOU,L 17-47,*,8,21,38.10,117,1,1,53.1,1,9,5.57,4.38,1,12,12.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
79,74,1991,1991-09-08,2,2,30.072,RAI,,DEN,W 16-13,*,12,19,63.16,168,1,0,109.1,5,28,8.84,9.89,3,17,5.67,0,0,0,1,,0,1,0,0,0,0,,0,,Jay Schroeder,SchrJa00
80,75,1991,1991-09-15,3,3,30.079,RAI,,IND,W 16-0,*,13,22,59.09,181,1,0,100.8,3,28,8.23,9.14,4,15,3.75,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
81,76,1991,1991-09-22,4,4,30.086,RAI,@,ATL,L 17-21,*,10,32,31.25,116,2,2,38.0,3,29,3.63,2.06,1,7,7.00,0,0,0,1,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
82,77,1991,1991-09-29,5,5,30.093,RAI,,SFO,W 12-6,*,14,25,56.00,144,0,0,72.7,3,17,5.76,5.76,5,-6,-1.20,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
83,78,1991,1991-10-06,6,6,30.100,RAI,,SDG,L 13-21,*,15,23,65.22,184,1,2,68.0,1,6,8.00,4.96,2,3,1.50,0,0,0,1,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
84,79,1991,1991-10-13,7,7,30.107,RAI,@,SEA,W 23-20,*,28,52,53.85,274,2,2,65.7,0,0,5.27,4.31,2,12,6.00,0,0,0,0,,0,0,0,0,0,0,,0,,Jay Schroeder,SchrJa00
